()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>9</BIN><黑屏2><BGM>m_va_reminiscence</BGM>:.............?? 시간 후.
Jill(2)<Speaker>질</Speaker>||:......+갔네...+좋아...+일단... 상황 정리 좀 하자...+어느 그리폰 인형이 술에 취해 뻗어버리면서 술집과 세계가 엉망이 되어 버렸고...+나는 이런 괴상한 공간에 갇혀 버렸는데...+여기에 곧 누가 온다는 소린가? 뭐, 누가 오든 내가 여태까지 겪었던 일보다야 덜하겠지...+젠장... 그 멍멍이 떼를 상대했을 때보다 더 끔찍해...
()<Speaker>？？</Speaker>||:안녕하세요...
Jill(2)<Speaker>질</Speaker>||:좋은 밤입니다. 발할라에――+이건 또 뭔...
Jillmagic(0)<Speaker>？？</Speaker>||<黑屏1>:안녕, 질.
()<Speaker></Speaker>||<黑屏2><BIN>186</BIN>:......
Jillmagic(0)<Speaker>？？</Speaker>||:우리... 드디어 만났구나.
Jill(2)<Speaker>질</Speaker>;Jillmagic(0)||:............+농담이지? 너 그거 농담이지!
Jill(2);Jillmagic(0)<Speaker>？？</Speaker>||:저기... 먼저 좀 진정할 수 있을까?+나도 이런 옷차림은 민망한 거 알아.
Jill(2)<Speaker>질</Speaker>;Jillmagic(0)||:민망하다고?+내가 27년 동안 살아오면서, 이토록 누구를 죽이고 싶은 생각은 처음이야, 그리고 그게 바로 나 자신이라니!
Jill(2);Jillmagic(0)<Speaker>？？</Speaker>||:질...+난 네가 아니야, 너도 알잖아? 줄리아나라고 부르면 돼.+네가 본 건 그냥 너랑 똑같이 생긴 27살 여성이 네가 어릴 적 가장 좋아했던 쇼의 여주인공을 코스프레한 모습이야.
Jill(2)<Speaker>질</Speaker>;Jillmagic(0)||:줄리아나라... 어쩌다 집에서 전화 올 때나 듣는 이름인데.+어쨌든 간에 이런 모습은 정말... 희한하네.+어쩌면 어느 세계에선 내가 정말로 그런 옷차림으로 코믹콘에 가서 사진을 찍고 다닐지도 모르겠는데...+정말로... 우와 소리 밖에 안 나오네, 어쩌면 그런 삶이 더 즐거울지도 모르겠어.+그래서... 네가 다른 세계에서 온... 나야?
Jill(2);Jillmagic(0)<Speaker>줄리아나</Speaker>||:조금은 달라.+나는 다른 세계의 질 스팅레이지만, 여기까지 오는 동안... 통로에서 한참을 걸었어.+그 안에서 참 많은 일들을 겪으면서... 조금 "질"스럽지 않게 됐어.+지금의 내 모습은 어쩌면 너희의 미래에 더 가까울지도 몰라.
Jill(2)<Speaker>질</Speaker>;Jillmagic(0)||:만약 내가 미래에 마법소녀가 된다는 것을 알았다면 시간을 뛰어넘어서라도 그 나를 죽여버렸을 거야.
Jill(2);Jillmagic(0)<Speaker>줄리아나</Speaker>||:괜찮아, 어차피 이 방에서 나가면 너도 나도 여기서 일어난 일을 전부 잊어버리고, 여기서 있었던 일도 모두 없었던 것이 될 테니까.
Jill(2)<Speaker>질</Speaker>;Jillmagic(0)||:그럼 뭘 해도 의미가 없는 거 아닐까... 그런 것도 이젠 익숙하지만.+그래서, 넌 어떻게 지냈어, 줄리아나 스팅레이 씨?
Jill(2);Jillmagic(0)<Speaker>줄리아나</Speaker>||:난... 잘 지냈어...+나의 세계에서 계속 잘 살고 있었어.+어느 유령과 함께 15년 동안 사귀면서, 같이 술집을 차리고 멋진 사람들을 아주 많이 대접했어.+15년 동안 또 많은 일을 했어... 과연 옳은 일인지는 모르지만, 우리도 우리 세상을 더 좋게 만들고 싶어 했어.
Jill(2)<Speaker>질</Speaker>;Jillmagic(0)||:정말 보람찬 삶이네, 마법소녀.+나하곤 딴판이야... 완전 달라...+그럼 결혼은 했어?
Jill(2);Jillmagic(0)<Speaker>줄리아나</Speaker>||:아니.
Jill(2)<Speaker>질</Speaker>;Jillmagic(0)||:아싸! 다행이다!+네가 세계를 구해도 자신의 인생 문제는 완전히 해결할 수는 없는 거네?
Jill(2);Jillmagic(0)<Speaker>줄리아나</Speaker>||:그건 아무것도 아니야.+우리의 세계는 이제 곧 끝날 거야, 모든 이의 모든 것이 사라질 거야. 그 와중에 내가 누구의 것이 되지 못한 것 가지고 실망할 겨를 따위 없어...+내가 이제 무엇을 잃게 될지 셀 시간도 없는데, 내가 가지지 못한 것들을 생각할 틈은 없어.
Jill(2)<Speaker>질</Speaker>;Jillmagic(0)||:아무래도 진짜 심각한 상황인가 보네.
Jill(2);Jillmagic(0)<Speaker>줄리아나</Speaker>||:우리는 이미 문제가 얼마나 심각한지 정확히 알고 있어.+하지만 너의 문제는 더 어려워... 너는 어디가 문제인지도 모르고, 정말 그것이 문제인지조차도 모르니까.+어쩌면 이게 그냥 마땅한 상태라면? 그럼 받아들여야지.
