()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>420</BIN><narrator>:대륙간 열차 "미래호", F09호 식당차의 화장실.
()||<BGM>GF_EV9_Intermission</BGM>:약 10분 전, 누군가가 이 화장실에 들어가면서 슬그머니 "청소 중" 팻말을 걸었다.+지금 화장실 안에는 두 명이 있었다.+키가 작은 인형과, 그런 그녀를 총구로 위협하는 키 큰 인형이.
AR18(2)<Position>0,70</Position><Speaker>류드밀라</Speaker>||<SE1>Select</SE1>:정체를 밝혀라.
Erma(4)<Speaker>엘마</Speaker>||:......
()||<SE1>AVG_Cloak_Whoosh</SE1>:엘마는 머리의 후드를 벗었다.
Erma(0)<Speaker>엘마</Speaker>||:......
AR18(2)<Position>0,70</Position><Speaker>류드밀라</Speaker>;Erma(0)||:......+얼굴 말고 신분.+넌 누구지? 무슨 목적으로 열차에 탑승했지?
Erma(0)<Speaker>엘마</Speaker>||:다짜고짜 저를 화장실로 끌고 오더니...+한다는 말이 제가 누구냐고 묻는 거예요?+요즘 강도는 다 이렇게 막무가내인가요?
()||:류드밀라는 대꾸할 시간도 아까워, 바로 해킹을 시도했다.
()||<SE1>AVG_21Winter_Error</SE1>:삑——
AR18(4)<Position>0,70</Position><Speaker>류드밀라</Speaker>||:...침투 불가능. 역시 너인가.
Erma(0)<Speaker>엘마</Speaker>||:네? 당신은 제가 누군지 알아요?
AR18(2)<Position>0,70</Position><Speaker>류드밀라</Speaker>||<黑点1>:언제까지 연기할 셈이지, 클럽3?
()||<黑点2><BIN>527</BIN>:그 시각, 콜트 익스프레스.
()||<SE1>AVG_Cloak_Whoosh</SE1>:류드밀라의 맞은편에 앉아있던 그림자가 갑자기 몸을 쭉 내밀더니, 손을 뻗어 그녀의 옷깃을 붙잡았다.
Erma(8)<Shake>0.1</Shake><Speaker>클럽3</Speaker>||<SE1>Rope</SE1>:——손 놔요!
AR18(2)<Position>0,70</Position><Speaker>스페이드A(류드밀라)</Speaker>||:......
Erma(8)<Speaker>클럽3</Speaker>||:얼른 손 안 놓으면 경찰에 신고할 거예요!
ColtWalker(5)<Speaker>하트Q</Speaker>||:어, 저기, 손님?+클럽3 손님, 우선 진정하실래요?+일단 엘마 흄에 대해서, 저희 측엔 관련 거래 기록이 전혀 없습니다.
Erma(8)<Shake>0.1</Shake><Speaker>클럽3</Speaker>||:그럴 리 없어요, 여기에 제가 원하는 정보가 있다고요.
ColtWalker(5)<Speaker>하트Q</Speaker>||:손님, 고객으로서 진상 부리는 거 좋지 않습......?
Erma(8)<Speaker>클럽3</Speaker>||:......
()||<黑点1>:클럽3가 돌연 다시 조용해졌다.
()||<黑点2><BIN>420</BIN>:같은 시각, 식당차의 화장실 안.
