()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>GF_EV9_Story</BGM><SE1>AVG_Steam_Train</SE1><黑屏2><BIN>532</BIN><narrator>:신소련, 모스크바 벨로루스키 역.
NPC-TD_Porter(1)<Speaker>수잔나</Speaker>||<SE1>AVG_20Winter_Book</SE1>:정상 발권되었습니다, 류드밀라 교관님. 좌석표를 분실하지 마시기 바랍니다.+즐거운 여행 되십시오.
AR18(2)<Speaker>"Я"교관</Speaker><Position>0,70</Position>||:...음.
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:"Я" 교관은 가볍게 고개를 끄덕이며 승무원에게서 표를 받아, 손에 든 서류 봉투에 넣었다.+그리고 자신이 탈 객차의 방향을 확인한 뒤, 약속한 것처럼 손목시계를 두드렸다.
()<Speaker></Speaker>||<SE1>AVG_Mechanical</SE1>:찰칵.+바늘이 움직이자, "류드밀라"가 천천히 눈을 떴다. 그녀의 시선은 여전히 시계에 꽂혀 있었다.
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:곧장 팔을 살짝 털어 손목시계를 소매 안으로 감춘 그녀는 손에 서류 봉투가 들려있음을 확인했다.
()<Speaker></Speaker>||:그리고 주위를 스윽 둘러본 다음, 류드밀라는 외투의 옷깃을 펴곤 조용히 사람들 사이로 모습을 숨겼다.
()<Speaker></Speaker>||:......
()||<黑屏1>:
AR18(2)<Speaker>류드밀라</Speaker><Position>0,70</Position>||<黑屏2><BIN>420</BIN><SE1>AVG_door_elecport</SE1>:그럼 내게 무슨 일을 시키려는지 어디 한번 볼까, "Я" 교관.
()<Speaker></Speaker>||:역의 화장실에 숨은 류드밀라는 서류 봉투를 열어, 그녀가 확인해야 하는 물건을 꺼냈다.
()<Speaker></Speaker>||:자신이 연기할 신분의 정보가 담긴 서류와 이를 "증명"할 위조 신분 서류, 그리고 서류들과는 다른 크기의 쪽지였다.
