()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>9</BIN><BGM>BGM_Room</BGM><黑屏2>:드디어, 난 무사히 카리나의 곁에 돌아올 수 있었다.+비록 저 요양원이 지구 어디에 있는 건지는 모르지만, 적어도 내 곁엔 모두가 있다, 그러니...
NPC-Kalin(9)<Speaker>카리나</Speaker>||:지휘관니임!!!
NPC-Kalin(9)<Speaker></Speaker>||<黑屏1>:<color=#A9A9A9>카리나에게 껴안기고서야 그 악몽 같은 싸움이 드디어 끝났다는 것을 깨달았다.</color>+<color=#A9A9A9>그리고 나도, 드디어 집에 갈 수 있었다.</color>
()||<BIN>97</BIN><黑屏2>:다음날, 나는 카리나와 함께 수송기에 타 새로운 기지에 도착했다.+물론, 404의 인형들은 밤사이 또다시 사라졌다.+언제 다시 만나게 될지는 모르지만, 어쩌면 그들은 신경쓰지 않아도. 나는 잊지 않을 것이다.
NPC-Kalin(9)<Speaker>카리나</Speaker>||:지휘관님, 그리폰의 새로운 기지에 어서 오세요.+어느 이름모를 분의 후원 덕분에 완전히 새로워진 작업환경과 시설이 생겼어요.
NPC-Kalin(9)<Speaker>지휘관</Speaker>||:...<c>네 새로운 옷차림도 멋지다.<c>대체 누가 이렇게까지 해준거지?<c>크루거 씨와 헬리안 씨는?
NPC-Kalin(9)<Speaker>카리나</Speaker>||<分支>1</分支>:그런가요? 작전에 필요한 거니까요, 그 동안 저도 열심히 공부했다고요.+저와 인형들 모두 새로운 기지에 적응하느라 한참이 걸렸어요, 이제 지휘관님 차례예요.
NPC-Kalin(9)<Speaker>카리나</Speaker>||<分支>2</分支>:잘 모르겠어요, 그래도 페르시카 씨도 그리폰의 재건을 위해서 엄청 고생하셨어요.+물론 저희도 이제 엄청 많은 업무를 받게 될 테니까, 또 고생하실 준비 하세요, 지휘관님.
NPC-Kalin(9)<Speaker>카리나</Speaker>||<分支>3</分支>:그건... 나중에 말하죠, 그건 하벨 씨가 좀 더 잘 아실 거예요.+저도 그 뉴스가... 사실이 아니라고 믿어요.
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Kalin(9)||:오... 그리폰에서 가장 믿음직한 지휘관이로군, 좋은 아침일세!+물론 놀랍진 않았네, 카리나 양이 한 시간 전에 자네가 돌아온다고 했거든. 그래서 여기서 기다리고 있었네.
NPC-Havel(0);NPC-Kalin(9)<Speaker>카리나</Speaker>||:하벨 씨, 지휘관님은 방금 기지에 돌아온 참이라. 몸 상태가 많이 안 좋아요, 먼저 휴식을 취해야...
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Kalin(9)||:아, 그럼 그럼. 그래도 억지로라도 자네의 시간을 좀 빌려주기를 바라네. 몇 분이면 되네, "그 사람들"과 약속했으니 말이야.
NPC-Havel(0);NPC-Kalin(9)<Speaker>카리나</Speaker>||:"그 사람들"이요?
NPC-Havel(0)<Speaker>하벨</Speaker>||<黑点1>:그리폰의 대고객님이지, 이번 건을 꼭 따내야 하네. 자, 얼마 안 걸릴 걸세.
