()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>169</BIN><黑屏2>:
()||<BGM>BGM_Danger</BGM><SE2>Alarm</SE2>:격리벽 밑의 거리는 이미 지옥이나 다름없었다.
NPC-PasserbyM(0)<Speaker>시민들</Speaker>||:으아아아아악!
NPC-PasserbyF(0)<Speaker>시민들</Speaker>||:오, 오지 마! 누가 구해줘요!
()<Speaker>방위군</Speaker>||<SE2>Gunfight</SE2>:시민 여러분, 즉시 가까운 피난소로 대피하십시오! 건물 안에 계신 분들은 사이렌이 멈추기 전까진 절대 밖으로 나오시면 안 됩니다!+여기는 동부 4번 문 방위대! 사령부, 응답하라! ELID가 도시 내로 침입했다! 현재 교전 중! 속히 지원 바란다!
()<Speaker>방위군</Speaker><黑屏1>||<SE2>Gunfight</SE2><黑点1>:반복한다, 지원을... 버, 벌써 여기까―― 으아악!!
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||<黑点2>:<color=#00CCFF>M4! AK12! 응답해! 현재 상황 보고해!</color>
M4A1Mod(3)<Speaker>M4A1</Speaker>||:저...
AK12(2)<Speaker>AK12</Speaker>||:안젤리아, 반란군이 격리벽을 폭파하는 걸 막지 못했어.+폭발의 규모는 그리 크지 않아서, 격리벽에 작은 구멍이 나기만 했어. 하지만 그리 쉽게 막을 수 있는 크기는 아니야.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>... 알았다.</color>
AK12(2)<Speaker>AK12</Speaker>||:이제 어떻게 할 거야?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:......
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>격리벽이 뚫렸어, 그것도 최악의 시기에...</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>리벨리온만으론... 그것도 소대의 절반만으론, 이 상황을 어떻게 할 수가 없어. 이렇게 된 이상...</color>
()<Speaker>방위군 장교</Speaker><通讯框>||:<color=#00CCFF>여기는 동부 구역 방위대 지휘관 대행, 드라고비치 소위다.</color>
()<Speaker>방위군 장교</Speaker><通讯框>||:<color=#00CCFF>각 방위대원에게 알린다. 보고에 의하면, 방금 반란군에 의해 격리벽이 파괴되었다.</color>
()<Speaker>방위군 장교</Speaker><通讯框>||:<color=#00CCFF>당황하지 말고, 모두 내 지휘에 따라 진지를 사수하라!</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>이 목소리는... 아까 만났던 부상당한 장교분.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:안젤리아 씨, 한 가지 아이디어가 있습니다.
AK12(0)<Speaker>AK12</Speaker>||:또 일을 늘릴 셈이야?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:말하게 놔둬. M4 뭘 어쩌려는 거지?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:반란군 진압 도중, 방위군 장교의 협력을 얻어 그들의 식별 신호와 통신 코드를 받았습니다.+저희만으론 감염생물을 막아낼 수 없지만, 저들과 협력한다면...
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:...그래, 현지 방위군의 힘을 빌리는 것도 좋은 방법이겠군.+통신 코드를 보내줘. 내가 잘 얘기해보겠어.
()||:안젤리아는 음성변조 기능을 작동시킨 후, 통신기의 설정을 조절해 베오그라드 방위군의 통신 채널에 연결했다.
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>지금 곤란해 보이는군요, 드라고비치 소위.</color>
()<Speaker>방위군 장교</Speaker>||:누구냐? 어디 소속이지? 어떻게 이 채널에 들어왔나?
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>제 부하와는 조금 전에 만나셨다 들었습니다.</color>
()<Speaker>방위군 장교</Speaker>||:...그렇군.+자네들의 도움이 없었다면, 벌써 그 변절자들에게 당했을 거요.+어디 소속인진 모르겠지만, 정말 큰 빚을 졌소.
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>인사는 나중에 나누죠. 지금은 시간이 촉박합니다.</color>
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>지금 상황은 어떻습니까? 얼마나 버틸 수 있죠? 지원군은 언제 도착합니까?</color>
()<Speaker>방위군 장교</Speaker>||:매우 혼란한 상황이오. 우리 부대가 격리벽 위에서 사수하고 있지만, 이미 대량의 ELID가 화망을 뚫고 도시 안으로 진입하고 있소.
()<Speaker>방위군 장교</Speaker>||:사실... 나를 포함해서, 여기의 병사들 대부분은 실전 경험이 얼마 없소. 작전 소대마저 뿔뿔이 흩어진 상태라, 방어선 구축도 버거운 상태요.
()<Speaker>방위군 장교</Speaker>||:그리고, 본부와도 연락이 닿질 않고 있소. 아무도 응답하지 않으니... 지원군은 아마 오지 않을 거요.
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>칫... 최악의 상황이군요.</color>
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>부하들에게 탄약을 아끼면서 좁은 통로나 복도에 방어선을 구축하라고 전하세요.</color>
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>좁은 구역에서 화력을 집중한다면, 적어도 감염생물에게 압도되지는 않을 겁니다.</color>
()<Speaker>방위군 장교</Speaker>||:하지만... 우리가 격리벽 내부로 후퇴한다면, 더 많은 감염생물들이 도시로 몰려들 것 아니오?
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>지금 여기서 당신들이 전멸하면, 감염생물들을 막을 사람조차 없어지게 됩니다.</color>
()<Speaker>방위군 장교</Speaker>||:...알겠소. 먼저 방어선을 확보한 다음, 감염생물들을 저지하겠소.
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>1분이라도 더 버티고, ELID를 한 마리라도 더 처치해야 베오그라드 시민이 생존할 확률이 높아집니다..</color>
()<Speaker>안젤리아</Speaker>||:<color=#00CCFF>진지를 사수하면서 통신을 유지하세요. 저희가 어떻게든 지원하겠습니다. 이상.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>AK12, M4, 잘 들었지?</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>지금부터, 각 격리벽 방위군을 도와 진지를 방어해. 고립된 부대가 있다면, 진지로 복귀할 수 있도록 돕도록.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>최우선 사항은, 손실을 최소한으로 줄이면서 더 많은 ELID가 도시로 진입하는 것을 막고, 지원군이 올 때까지 버티는 거다.</color>
AK12(0)<Speaker>AK12</Speaker>||:여전히, 폭풍이 부는 날에 파도 타러 가는 사람이라니까.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>내가 그 정도로 멍청하진 않거든? 그리고 방위군을 돕는 건 결국엔 우리 자신을 위해서야.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>이 사태가 진정된 다음에 안전 구역으로 이동하자.</color>
AK12(0)<Speaker>AK12</Speaker>||:하지만 벌써 ELID가 상당수 격리벽을 돌파하고 도시로 들어왔는걸? 게다가 정화탑도 파괴된 상태인데,  붕괴 오염을 동반한 폭풍우까지 밀려오고 있어.+안젤리아, 또 피폭당하고 싶은 거 아니면 실내에서 지휘해. 전선은 나랑 M4한테 맡기고.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>나도 알아. 감염자투성이인 상황에 밖을 돌아다니는 건 자살행위지.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>어쨌든 구멍은 한 곳 뿐으로 보이니까, 감염자가 어디서 나타날지 예상하기 쉽고...</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>방위대의 협력도 있으니, 상황을 악화시키는 일만 일어나지 않는다면 피해를 최소한으로 줄일 수 있을 거야.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:하지만, 정말 그렇게 순조롭게 해결될까요?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>고요한 수면에 파도를 일으키고 장애물을 뛰어넘는 것이, 우리 리벨리온의 사명이야.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>됐으니까 전투에 집중해. 난 따로 처리할 일이 있으니까.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><通讯框>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>...K, 들리나?</color>
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>너한테 통신 침묵을 유지하라고 했는데?</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;NPC-Jason(0)<通讯框>||<BGM>BGM_Room</BGM>:정화탑이 파괴됐다.+――그래도 넌 관심이 없겠지.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>본론만 말해.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;NPC-Jason(0)<通讯框>||:쯧... 감염생물의 수가 점점 많아지고 있어. 안 그래도 인력 부족인데, 폭풍우까지 오고 있다고. 정말 시간이 없어. 당장 격리벽으로 지원 병력을 보내줘.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>안 돼.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;NPC-Jason(0)<通讯框>||:왜 안 되는 거냐고!
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker><Shake>;NPC-Jason(0)<通讯框>||:......후우. ELID를 저격할 인원 몇 명 보내달라는 게, 딱히 무리한 요구는 아닐 거 아니야.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>......</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;NPC-Jason(0)<通讯框>||:아무래도 넌 이번 경호 임무에서의 우선 순위 설정을 다시 한번 고려해봐야 할 것 같아.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>쓸데없는 소리 말고, 임무나 수행해.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;NPC-Jason(0)<通讯框>||:갑자기 엄청난 의심이 드는데... 맞는지 확인해 주겠어?
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>겨우 몇 초만에 생긴 의심인가?</color>
