()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>357</BIN><BGM>10254</BGM>:댄들라이의 중계를 통해, 지휘관은 마흐리안의 "컨셔스 파노라마" 속에서 상상을 아득히 초월한 수의 기억 파편들을 발견했다.
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>||:<color=#00CCFF>이건... 흥미롭군요...</color>
NytoIsomer(7)<通讯框>;AR15Mod(0)<Speaker>AR15</Speaker>||:너 아까부터 계속 혼자 중얼거리는데, 대체 뭘 찾아냈길래 그래?
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>;AR15Mod(0)||:<color=#00CCFF>마흐리안은 그야말로, 모순의 결정체입니다. 그녀의 파노라마의 빌드 구조는 패러데우스의 극초기 기술 같지만, 기억 파편의 형식은 제가 다른 니토들에게선 한 번도 본 적 없는 형태입니다.</color>
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:신식이면서도 구식이란 건가...
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>;RO635Mod(0)||:<color=#00CCFF>탈린의 버려진 이성질체들의 기억 파편이 그저 화질이 떨어지는 영상 클립의 집합이었다면, 마흐리안의 기억은 완전히 디지털화된 것입니다.</color>
NytoIsomer(7)<Speaker>지휘관</Speaker><通讯框>||:처리하기 힘들단 뜻이야?
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>||:<color=#00CCFF>파노라마에 침투하는 것 자체는 그리 어렵지 않으나, 이만한 규모는 대체 어디서부터 처리해야 할지 감이 안 잡히는군요.</color>
NytoIsomer(7)<通讯框>;AR15Mod(0)<Speaker>AR15</Speaker>||:구조가 어떻든 간에 시간순으로 확인하면 되잖아.
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>;AR15Mod(0)||:<color=#00CCFF>해봤는데 안 돼서 하는 말이야.</color>+<color=#00CCFF>마흐리안의 기억 파편은 시간값이 아예 없어서 정렬이 불가능해.</color>
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:말도 안 돼!
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>;RO635Mod(0)||:<color=#00CCFF>말도 안 돼도 사실인걸.</color>
NytoIsomer(7)<通讯框>;M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:그게 무슨 뜻이야?
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:기억 파편은 생성된 순간 자동으로 시간 표식이 붙고, 어지간해선 수정하지도, 삭제하지도 못해.+아예 불가능한 건 아니지만, 그러려면...
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>;RO635Mod(0)||:<color=#00CCFF>누가 말도 안 되게 한가해서 프레임마다 시간값을 지워야 하지.</color>
NytoIsomer(7)<通讯框>;AR15Mod(0)<Speaker>AR15</Speaker>||:하지만 이렇게나 많은 기억 파편들을 일일이, 프레임마다 세척하는 건 사실상 불가능할 텐데.
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:그렇다면 가능성은 한 가지... 누군가 그녀의 기억을 박살내고 세척해서, 시간 표식이 사라져 기억이 뒤죽박죽이 된 거야.
NytoIsomer(7)<通讯框>;M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:그럼 본인도 자기 과거를 기억 못한다고?
NytoIsomer(7)<Speaker>지휘관</Speaker><通讯框>||:......+기억이 주입됐을 가능성은?
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>||:<color=#00CCFF>없습니다.</color>+<color=#00CCFF>마흐리안의 컨셔스 파노라마는 매우 취약해, 기억이 주입될 경우 파노라마가 통째로 무너질 겁니다.</color>+<color=#00CCFF>일단 일부 읽을 수 있는 파편만이라도 모았습니다만, 순서를 모르니 조합에 따라 해석이 달라질 수 있습니다.</color>
NytoIsomer(7)<Speaker>지휘관</Speaker><通讯框>||:우선 읽을 수 있는 것부터 다 확인해보자.
NytoIsomer(7)<Speaker>댄들라이</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>네, 가장 가까운 것부터 보겠습니다.</color>
()||<黑屏2><回忆><BIN>318</BIN><BGM>BGM_Empty</BGM>:본 마을.
NPC-Lilyan(0)<Speaker>엘사</Speaker>||<BGM>m_avg_labyrinth</BGM>:성녀 언니, 언니는 형제자매 있어?
NPC-Machlian(4)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:음... 여동생이 한 명 있다고 할 수 있겠네.
NPC-Lilyan(0)<Speaker>엘사</Speaker>||:우와, 성녀 언니처럼 다정한 사람의 동생이니까 언니를 엄청 좋아하겠다.
NPC-Machlian(4)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:...그건 아닌가 봐.
NPC-Lilyan(0)<Speaker>엘사</Speaker>||:왜? 동생이랑 사이 나빠?
